MaSo,Ten,DonVi,EnglishName
1,Hà Nội,Thành phố,HaNoi
2,Hà Giang,Tỉnh,HaGiang
4,Cao Bằng,Tỉnh,CaoBang
6,Bắc Kạn,Tỉnh,BacKan
8,Tuyên Quang,Tỉnh,TuyenQuang
10,Lào Cai,Tỉnh,LaoCai
11,Điện Biên,Tỉnh,DienBien
12,Lai Châu,Tỉnh,LaiChau
14,Sơn La,Tỉnh,SonLa
15,Yên Bái,Tỉnh,YenBai
17,Hoà Bình,Tỉnh,HoaBinh
19,Thái Nguyên,Tỉnh,ThaiNguyen
20,Lạng Sơn,Tỉnh,LangSon
22,Quảng Ninh,Tỉnh,QuangNinh
24,Bắc Giang,Tỉnh,BacGiang
25,Phú Thọ,Tỉnh,PhuTho
26,Vĩnh Phúc,Tỉnh,VinhPhuc
27,Bắc Ninh,Tỉnh,BacNinh
30,Hải Dương,Tỉnh,HaiDuong
31,Hải Phòng,Thành phố,HaiPhong
33,Hưng Yên,Tỉnh,HungYen
34,Thái Bình,Tỉnh,ThaiBinh
35,Hà Nam,Tỉnh,HaNam
36,Nam Định,Tỉnh,NamDinh
37,Ninh Bình,Tỉnh,NinhBinh
38,Thanh Hóa,Tỉnh,ThanhHoa
40,Nghệ An,Tỉnh,NgheAn
42,Hà Tĩnh,Tỉnh,HaTinh
44,Quảng Bình,Tỉnh,QuangBinh
45,Quảng Trị,Tỉnh,QuangTri
46,Thừa Thiên Huế,Tỉnh,ThuaThienHue
48,Đà Nẵng,Thành phố,DaNang
49,Quảng Nam,Tỉnh,QuangNam
51,Quảng Ngãi,Tỉnh,QuangNgai
52,Bình Định,Tỉnh,BinhDinh
54,Phú Yên,Tỉnh,PhuYen
56,Khánh Hòa,Tỉnh,KhanhHoa
58,Ninh Thuận,Tỉnh,NinhThuan
60,Bình Thuận,Tỉnh,BinhThuan
62,Kon Tum,Tỉnh,KonTum
64,Gia Lai,Tỉnh,GiaLai
66,Đắk Lắk,Tỉnh,DakLak
67,Đắk Nông,Tỉnh,DakNong
68,Lâm Đồng,Tỉnh,LamDong
70,Bình Phước,Tỉnh,BinhPhuoc
72,Tây Ninh,Tỉnh,TayNinh
74,Bình Dương,Tỉnh,BinhDuong
75,Đồng Nai,Tỉnh,DongNai
77,Bà Rịa - Vũng Tàu,Tỉnh,BaRia-VungTau
79,Hồ Chí Minh,Thành phố,HoChiMinh
80,Long An,Tỉnh,LongAn
82,Tiền Giang,Tỉnh,TienGiang
83,Bến Tre,Tỉnh,BenTre
84,Trà Vinh,Tỉnh,TraVinh
86,Vĩnh Long,Tỉnh,VinhLong
87,Đồng Tháp,Tỉnh,DongThap
89,An Giang,Tỉnh,AnGiang
91,Kiên Giang,Tỉnh,KienGiang
92,Cần Thơ,Thành phố,CanTho
93,Hậu Giang,Tỉnh,HauGiang
94,Sóc Trăng,Tỉnh,SocTrang
95,Bạc Liêu,Tỉnh,BacLieu
96,Cà Mau,Tỉnh,CaMau
